busno	busid	stationid	stationnm	x	y
6647	4664700	16116	송정역	126.81032217605319	37.56118638584699
6647	4664700	16308	공항중학교	126.81672904439843	37.5629932819431
6647	4664700	16305	세민정보고등학교	126.81688552997537	37.56935522991454
6647	4664700	16431	신방화사거리	126.81692789916465	37.572857834912206
6647	4664700	16281	공항버스종점입구	126.81807925947338	37.57285781252278
6647	4664700	미정차	방화2차우림아파트(가상)	126.82051575738883	37.57183610089949
6647	4664700	16705	마곡엠블리아파트4단지	126.82517739075848	37.57053290997314
6647	4664700	16702	마곡나루역	126.8241661915214	37.567269458631685
6647	4664700	16703	신방화역4번출구	126.81731649046154	37.567646527854606
6647	4664700	16704	신방화역7번출구	126.81634471365935	37.566924147232385
6647	4664700	16307	공항중학교	126.81627794869642	37.56322686475339
6647	4664700	16115	KT공항지사	126.81471777146587	37.56107261909205
6647	4664700	16117	송정역	126.80901692655364	37.5616789812919
6647	4664700	16118	공항시장	126.80892717156225	37.562251930536725
6647	4664700	16120	공항동국민은행	126.810949393771	37.56382488767788
6647	4664700	16122	방화주유소	126.81258485574907	37.566182047158044
6647	4664700	16374	강서농협	126.81281940056711	37.56790440451727
6647	4664700	16124	방화1동주민센터	126.81288565357325	37.56992926082037
6647	4664700	16126	국민은행방화동지점	126.8115903307705	37.572718779231394
6647	4664700	16286	방화사거리	126.80987158127583	37.57324406265323
6647	4664700	16288	개화산역	126.80608157605242	37.572679222207256
6647	4664700	16167	개화파출소	126.80257908735597	37.575152315814755
6647	4664700	16169	개화검문소	126.80024895915338	37.57860497564364
6647	4664700	16413	개화동상사마을종점	126.80178688473464	37.58870426470102
6647	4664700	미정차	상사마을(가상)	126.80110954279554	37.58664954606594
6647	4664700	16172	상사마을	126.79831270561859	37.58203303032416
6647	4664700	16434	개화역광역환승센터	126.79850538728722	37.57859840818336
6649	4664900	17834	신도림역	126.88961762179484	37.510667133838815
6649	4664900	19001	문래동남성아파트	126.89363972113335	37.51171790264639
6649	4664900	19187	도림마을금고	126.90006271194038	37.50825877878515
6649	4664900	19324	우성5차아파트	126.9030298258071	37.507279051459236
6649	4664900	19367	크라운사거리	126.9053801420424	37.50830190501778
6649	4664900	19236	도림동자치회관	126.90767174021543	37.509294028361516
6649	4664900	19240	영등포농협	126.91223407574599	37.51089425688424
6649	4664900	19228	대신시장	126.91646488459138	37.51172994159551
6649	4664900	19225	신길역	126.9170498229568	37.516738669008284
6649	4664900	19161	전경련회관	126.91888368622021	37.52189062729542
6649	4664900	19007	여의도환승센터	126.92426763492719	37.52536883929758
6649	4664900	19283	중소기업진흥공단	126.92744167775905	37.524880634183674
6649	4664900	19158	한국거래소.구증권선물거래소	126.92707062958435	37.523669328898826
6649	4664900	19290	여의도지하차도입구	126.92330585829222	37.52324523002669
6649	4664900	19152	여의도공원	126.92036058863796	37.52355145666286
6649	4664900	19279	신길역	126.91488834953665	37.51839785812883
6649	4664900	19300	신길역1호선	126.91663688772462	37.516759103596954
6649	4664900	19229	대윤병원	126.91800135819668	37.51454335258974
6649	4664900	19230	대신시장	126.91619531664247	37.51203792706333
6649	4664900	19231	영등포농협	126.91342685437009	37.511426786493665
6649	4664900	19331	영등포역후문	126.90798188429319	37.514653115279145
6649	4664900	19405	꼬추말	126.90601355198123	37.51193294584109
6649	4664900	19335	영등포동.영등포푸르지오아파트	126.90454115789997	37.509825892847275
6649	4664900	19404	신길3동주민센터	126.90629670647303	37.50712399527853
6649	4664900	19389	코끼리유통	126.90713540804832	37.50577480771465
6649	4664900	19406	다나약국	126.90535585342325	37.505141723217214
6649	4664900	19235	성락교회	126.90287248350042	37.50474953052433
6649	4664900	19186	도림마을금고	126.90040881255048	37.50827979640474
6649	4664900	19002	문래동남성아파트	126.8922582052857	37.51116157272939
6649	4664900	17947	신도림역	126.88999317542945	37.510664780874535
6649	4664900	17294	우성3차아파트상가.가상	126.88314099935256	37.51325697436405
6649	4664900	17401	신도림자동차학원.가상	126.88151461770678	37.51234884737559
6649	4664900	17828	진흥슈퍼	126.88028190772852	37.511453712924826
6649	4664900	17826	하나마트	126.87945321198963	37.51046165962066
6649	4664900	17818	세븐일레븐	126.87851876306713	37.509127974469635
6649	4664900	17822	방앗간	126.87907925506244	37.50877351583617
6649	4664900	17820	알뜰슈퍼	126.87989558860599	37.50828865528885
6649	4664900	17855	신도림동아3차아파트	126.88380075207003	37.51017405964537
6649	4664900	17831	우성아파트	126.88553852872238	37.5114571212708
6649	4664900	17413	신도림역.가상	126.8897727343823	37.51057086091543
6650	4665000	17102	신도림역	126.89157078731381	37.507015879768886
6650	4665000	19328	한국방송대	126.89477509046021	37.50310078814855
6650	4665000	19325	현대3차성원아파트	126.89691881898756	37.50447866047846
6650	4665000	19361	신길1차우성아파트	126.89987134463182	37.505871599565616
6650	4665000	19407	도림사거리	126.9012712286115	37.507050517264936
6650	4665000	19186	도림마을금고	126.90040881255048	37.50827979640474
6650	4665000	19292	문래우체국.문래예술공단	126.89519381851719	37.51425859237479
6650	4665000	19305	문래자이아파트	126.89465637657938	37.51674965554329
6650	4665000	19319	양화중학교.홈플러스	126.89530204933017	37.51937963802346
6650	4665000	19167	현대아파트	126.89616014146232	37.52305597853485
6650	4665000	19168	영등포구청	126.8969364269334	37.52622131651071
6650	4665000	19181	당산삼성아파트	126.89804304839873	37.52863992322244
6650	4665000	19177	당산역	126.90086388782531	37.53280629682679
6650	4665000	19182	당산동유원아파트	126.89760846745561	37.52871704168657
6650	4665000	19169	영등포구청	126.89638089059578	37.52541344631495
6650	4665000	19302	현대아파트	126.89577670537129	37.522987157304115
6650	4665000	19164	영등포방사선과	126.89524590235936	37.520698797502085
6650	4665000	19318	문래역	126.89425607510263	37.516631253796156
6650	4665000	19293	문래우체국.문래예술공단	126.89477652946002	37.51416270477847
6650	4665000	19187	도림마을금고	126.90006271194038	37.50825877878515
6650	4665000	19333	건영아파트.도림사거리	126.90052211308142	37.506434436626904
6650	4665000	19274	대림동현대3차아파트	126.89643356550874	37.504492653681396
6650	4665000	19273	한국통신대	126.89573994658849	37.503870283419296
6650	4665000	19402	현대2차아파트후문	126.89408640240151	37.50301006253074
6650	4665000	19312	대림코오롱아파트	126.89432719790973	37.507107586683375
6651	4665100	19310	대방천사거리	126.9196868724544	37.498729279484174
6651	4665100	19393	보라매공원입구	126.91677022663698	37.4985569522949
6651	4665100	19348	대길초등학교	126.91451394208423	37.498516593771264
6651	4665100	미정차	신풍지구대(가상)	126.91237910156137	37.49908002102028
6651	4665100	19363	우성2차아파트	126.91071638728643	37.49920042496035
6651	4665100	19315	수녀원	126.90719293892913	37.49950408439638
6651	4665100	19418	보일러백화점	126.9043331986385	37.49993883788499
6651	4665100	19709	대성유니드아파트	126.90271877928463	37.50116752407913
6651	4665100	19351	대성아파트.건영아파트후문	126.90033068992149	37.50323085916827
6651	4665100	19274	대림동현대3차아파트	126.89643356550874	37.504492653681396
6651	4665100	19273	한국통신대	126.89573994658849	37.503870283419296
6651	4665100	19402	현대2차아파트후문	126.89408640240151	37.50301006253074
6651	4665100	19312	대림코오롱아파트	126.89432719790973	37.507107586683375
6651	4665100	17102	신도림역	126.89157078731381	37.507015879768886
6651	4665100	19357	대림동코오롱아파트	126.89434684559495	37.5076131220013
6651	4665100	19332	성원아파트입구	126.89799494565662	37.504966189442975
6651	4665100	19354	건영아파트후문	126.90070145894717	37.50254272956938
6651	4665100	19847	신풍프라자	126.9015122861179	37.50178648265596
6651	4665100	19352	대성유니드아파트	126.90270789808997	37.50083681061917
6651	4665100	19350	보일러백화점	126.90423391583589	37.49974592153893
6651	4665100	19244	신풍역	126.90689711536729	37.50001207338416
6651	4665100	19628	명신유치원	126.91371844136687	37.49985865823066
6651	4665100	19347	영진시장	126.91679600263224	37.499789678736576
6651	4665100	19346	보라매역	126.91974008382772	37.49973494609869
6657	4665700	15378	양천공영차고지	126.83837697338807	37.50731281458377
6657	4665700	15320	신정현대아파트	126.84178690413279	37.50857807046868
6657	4665700	15229	양천고등학교	126.84565716137212	37.50992673134018
6657	4665700	15227	정랑고개.양천벤처타운	126.85038213035736	37.5115773183431
6657	4665700	15226	신트리아파트	126.85449014798044	37.5129791552161
6657	4665700	15233	양명초교.신서중	126.85570251403476	37.5143052592134
6657	4665700	15232	신정1동주민센터	126.85437108105317	37.51720336345235
6657	4665700	15251	신정네거리역	126.85319617814861	37.519840327158256
6657	4665700	15282	신정주유소	126.85183311725729	37.52261400900799
6657	4665700	15288	양강중학교	126.85075650259924	37.524667157592326
6657	4665700	16191	까치산역.아이리스성형외과	126.84701452986047	37.53154945854845
6657	4665700	16206	화곡역	126.84112214754262	37.54095272797191
6657	4665700	16207	화곡역1번출구	126.83967918856067	37.542597980210964
6657	4665700	16209	대원시장	126.83822637042535	37.544062981793765
6657	4665700	16212	화곡중고등학교	126.83645411952673	37.547190042740894
6657	4665700	16213	우장산역	126.83650283085731	37.549241000966106
6657	4665700	16215	명덕고등학교.웰튼병원	126.8367014781701	37.55312048514241
6657	4665700	16217	발산역.우장산힐스테이트	126.83762549935206	37.55603859876026
6657	4665700	16220	등촌3동그랜드백화점	126.83897031285296	37.5601701491299
6657	4665700	16222	서울호서전문학교.등촌주공3단지아파트	126.83978205911953	37.56273936671179
6657	4665700	16223	KT가양지사	126.84040880184568	37.56450185050474
6657	4665700	16225	양천향교역.휴먼빌아파트	126.84156979500581	37.56897913607176
6657	4665700	16227	가양한강타운아파트	126.8432785020745	37.57039252541881
6657	4665700	16229	가양2단지성지아파트.동양고등학교	126.84640707527737	37.56952798514693
6657	4665700	16231	한보구암마을아파트	126.84873045493043	37.56877857364652
6657	4665700	16330	공진초등학교	126.85006650715438	37.566405000565915
6657	4665700	16266	강서한강자이아파트	126.84787095778186	37.565014510571515
6657	4665700	16267	가양동CJ주식회사	126.84491880395215	37.566608305538004
6657	4665700	16309	양천향교역	126.84071168422717	37.56685861444665
6657	4665700	16224	KT가양지사	126.84009894752595	37.56488619750789
6657	4665700	16221	서울호서전문학교.등촌주공3단지아파트	126.83945693186598	37.56285786923941
6657	4665700	16219	등촌3동그랜드백화점	126.83853820359094	37.56003799950181
6657	4665700	16218	발산역.우장산힐스테이트	126.83748356982058	37.55676558565239
6657	4665700	16216	명덕고등학교.웰튼병원	126.8363717463911	37.553291236463274
6657	4665700	16214	우장산역	126.83612925279981	37.54980276588072
6657	4665700	16211	화곡중고등학교	126.8361316002148	37.5471796835809
6657	4665700	16210	대원시장	126.83731323333959	37.54452489015045
6657	4665700	16208	화곡역	126.83888857881654	37.54292940836777
